Press,Temp,COND,Sal,DENS,C
24.3226,-1.1972,27.5673,34.37,27.77,1443.11
24.5375,-1.1241,27.6728,34.43,27.82,1443.54
24.7882,-1.0002,27.7684,34.42,27.8,1444.11
25.0031,-0.8916,27.8396,34.39,27.78,1444.59
25.2538,-0.8355,27.8003,34.28,27.68,1444.7
25.5045,-0.8863,27.6421,34.12,27.56,1444.25
25.8268,-1.0904,27.4312,34.06,27.52,1443.22
26.1133,-1.3223,27.3527,34.22,27.66,1442.34
26.2924,-1.4326,27.2926,34.26,27.7,1441.88
26.5789,-1.4987,27.2706,34.31,27.74,1441.63
26.8654,-1.53,27.2669,34.34,27.77,1441.53
27.0445,-1.5418,27.2693,34.36,27.78,1441.49
27.3668,-1.5406,27.2816,34.37,27.79,1441.53
27.5817,-1.5376,27.2841,34.37,27.8,1441.54
27.8324,-1.5382,27.2816,34.37,27.79,1441.54
28.0831,-1.5453,27.2767,34.37,27.8,1441.51
28.3696,-1.5553,27.2718,34.37,27.8,1441.48
28.6561,-1.566,27.2632,34.37,27.8,1441.43
28.8352,-1.5801,27.2902,34.43,27.85,1441.44
29.0859,-1.5654,27.2988,34.42,27.85,1441.51
29.4082,-1.5601,27.2779,34.39,27.82,1441.49
29.5873,-1.5837,27.2546,34.38,27.82,1441.37
29.8738,-1.6126,27.2473,34.41,27.84,1441.27
30.0887,-1.6297,27.246,34.42,27.85,1441.22
30.3036,-1.6368,27.246,34.43,27.86,1441.2
30.6617,-1.6421,27.2473,34.44,27.87,1441.19
30.9124,-1.6456,27.2485,34.44,27.87,1441.18
31.0914,-1.6486,27.2473,34.45,27.88,1441.17
31.3063,-1.6521,27.2448,34.45,27.88,1441.16
31.6286,-1.6568,27.2424,34.45,27.88,1441.15
31.8793,-1.6645,27.2375,34.45,27.88,1441.12
32.13,-1.6716,27.2448,34.47,27.9,1441.11
32.3807,-1.6657,27.2681,34.49,27.92,1441.18
32.5597,-1.6462,27.2841,34.49,27.92,1441.27
32.9537,-1.625,27.2914,34.48,27.91,1441.36
33.1685,-1.6261,27.2767,34.46,27.9,1441.33
33.455,-1.6468,27.2644,34.47,27.9,1441.25
33.6699,-1.6621,27.2546,34.47,27.91,1441.18
33.8489,-1.6745,27.246,34.47,27.91,1441.13
34.1712,-1.6863,27.2387,34.48,27.92,1441.08
34.4219,-1.6993,27.235,34.49,27.93,1441.04
34.6368,-1.7082,27.2301,34.49,27.93,1441.0
34.9233,-1.7158,27.2264,34.49,27.93,1440.98
35.1381,-1.7211,27.2252,34.5,27.94,1440.96
35.4604,-1.7253,27.224,34.5,27.94,1440.95
35.7469,-1.7288,27.2215,34.5,27.95,1440.94
35.9618,-1.7318,27.224,34.51,27.95,1440.94
36.1766,-1.7329,27.224,34.51,27.95,1440.94
36.3915,-1.7329,27.2264,34.51,27.96,1440.94
36.7496,-1.7329,27.2277,34.51,27.96,1440.95
36.9645,-1.7312,27.2301,34.51,27.96,1440.97
37.2151,-1.73,27.2301,34.51,27.96,1440.97
37.4658,-1.7306,27.2289,34.51,27.96,1440.97
37.7881,-1.7347,27.2252,34.51,27.96,1440.96
38.0029,-1.74,27.224,34.52,27.97,1440.94
38.2536,-1.7477,27.2228,34.52,27.98,1440.92
38.5401,-1.7518,27.2252,34.53,27.98,1440.91
38.7549,-1.7518,27.2289,34.54,27.99,1440.92
39.0414,-1.7489,27.235,34.54,27.99,1440.95
39.2563,-1.7441,27.2399,34.54,28.0,1440.98
39.5069,-1.7388,27.2448,34.54,28.0,1441.01
39.7576,-1.7371,27.2424,34.54,27.99,1441.01
40.0082,-1.7382,27.2399,34.53,27.99,1441.01
40.2947,-1.7441,27.2375,34.54,28.0,1440.99
40.5454,-1.7495,27.2362,34.54,28.0,1440.97
40.8318,-1.7518,27.2362,34.54,28.01,1440.97
41.0825,-1.7518,27.2387,34.55,28.01,1440.98
41.3331,-1.7506,27.2424,34.55,28.01,1440.99
41.5838,-1.7465,27.2473,34.55,28.02,1441.02
41.7986,-1.7412,27.2522,34.55,28.02,1441.05
42.0851,-1.7371,27.2546,34.55,28.02,1441.07
42.3358,-1.7377,27.251,34.55,28.02,1441.07
42.5506,-1.7412,27.2485,34.55,28.02,1441.05
42.7654,-1.7465,27.2448,34.55,28.02,1441.03
43.0877,-1.7518,27.2424,34.55,28.02,1441.02
43.3025,-1.7548,27.2424,34.56,28.03,1441.01
43.589,-1.7565,27.2424,34.56,28.03,1441.01
43.8396,-1.7571,27.2424,34.56,28.03,1441.01
44.1261,-1.7577,27.2424,34.56,28.03,1441.01
44.3051,-1.7589,27.2424,34.56,28.04,1441.01
44.5916,-1.7577,27.2497,34.57,28.04,1441.03
44.8422,-1.7524,27.2571,34.57,28.05,1441.07
45.0929,-1.7459,27.262,34.57,28.05,1441.1
45.3435,-1.74,27.2669,34.57,28.05,1441.14
45.6658,-1.7365,27.2681,34.57,28.05,1441.15
45.8806,-1.7353,27.2681,34.57,28.05,1441.16
46.1312,-1.7359,27.2681,34.57,28.05,1441.16
46.3819,-1.7353,27.2706,34.57,28.05,1441.17
46.6683,-1.7335,27.2718,34.57,28.05,1441.19
46.8473,-1.7335,27.2718,34.57,28.05,1441.19
47.1338,-1.7347,27.273,34.57,28.06,1441.19
47.3844,-1.7347,27.2743,34.57,28.06,1441.2
47.5634,-1.7353,27.273,34.57,28.06,1441.2
47.8499,-1.7365,27.2718,34.57,28.06,1441.19
48.1005,-1.7382,27.2718,34.57,28.06,1441.19
48.387,-1.7388,27.2718,34.57,28.07,1441.2
48.6376,-1.7388,27.2755,34.58,28.07,1441.21
48.8524,-1.7353,27.2828,34.59,28.08,1441.23
49.1747,-1.7235,27.2963,34.59,28.08,1441.3
49.3895,-1.7123,27.3061,34.59,28.08,1441.36
49.6401,-1.7017,27.3123,34.59,28.08,1441.41
49.9265,-1.6934,27.3221,34.59,28.09,1441.46
50.1772,-1.684,27.3319,34.59,28.09,1441.51
50.4278,-1.6728,27.3405,34.59,28.09,1441.57
50.6426,-1.6651,27.3478,34.59,28.09,1441.61
50.929,-1.6574,27.354,34.59,28.09,1441.65
51.2155,-1.6515,27.3601,34.59,28.09,1441.69
51.5019,-1.6438,27.3699,34.6,28.1,1441.73
51.7167,-1.632,27.3834,34.6,28.1,1441.8
52.0031,-1.6185,27.392,34.6,28.1,1441.86
52.2537,-1.6102,27.3993,34.6,28.1,1441.91
52.5044,-1.6025,27.4042,34.6,28.1,1441.95
52.755,-1.5961,27.4116,34.6,28.1,1441.98
52.8982,-1.5866,27.4226,34.6,28.11,1442.04
53.292,-1.5778,27.4312,34.61,28.11,1442.09
53.4352,-1.5677,27.441,34.61,28.11,1442.14
53.7216,-1.5583,27.4471,34.6,28.11,1442.19
53.9723,-1.5536,27.4471,34.6,28.11,1442.21
54.1871,-1.5542,27.4435,34.59,28.11,1442.2
54.5093,-1.5589,27.4422,34.6,28.11,1442.19
54.7599,-1.5612,27.4422,34.6,28.11,1442.18
55.0463,-1.5612,27.4435,34.6,28.12,1442.19
55.2611,-1.5607,27.4422,34.6,28.11,1442.19
55.5475,-1.5618,27.4422,34.6,28.12,1442.19
55.7623,-1.5624,27.4447,34.61,28.12,1442.2
56.0129,-1.5601,27.4471,34.61,28.12,1442.22
56.2278,-1.5583,27.4484,34.61,28.12,1442.23
56.5142,-1.5571,27.4496,34.61,28.12,1442.24
56.7648,-1.5548,27.4545,34.61,28.13,1442.26
56.9796,-1.55,27.457,34.61,28.13,1442.28
57.2302,-1.5477,27.4594,34.61,28.13,1442.3
57.4808,-1.5459,27.4606,34.61,28.13,1442.31
57.7672,-1.5453,27.4606,34.61,28.13,1442.32
57.982,-1.5435,27.4631,34.61,28.13,1442.33
58.2684,-1.5424,27.4643,34.61,28.13,1442.34
58.519,-1.5412,27.4643,34.61,28.13,1442.35
58.8054,-1.5406,27.4643,34.6,28.14,1442.35
59.056,-1.5412,27.4655,34.61,28.14,1442.36
59.2708,-1.5394,27.4778,34.62,28.15,1442.39
59.5214,-1.527,27.4937,34.63,28.16,1442.46
59.8794,-1.5052,27.5146,34.63,28.16,1442.58
60.1299,-1.4875,27.5318,34.64,28.16,1442.67
60.3805,-1.4698,27.5379,34.62,28.16,1442.74
60.5953,-1.4609,27.5416,34.62,28.15,1442.78
60.9175,-1.4562,27.5477,34.62,28.16,1442.81
61.0249,-1.4497,27.5551,34.62,28.16,1442.85
61.3471,-1.4427,27.5612,34.62,28.16,1442.89
61.5977,-1.4368,27.56,34.62,28.15,1442.91
61.8841,-1.4379,27.5514,34.6,28.15,1442.89
62.1347,-1.448,27.5281,34.58,28.13,1442.82
62.3495,-1.4739,27.5134,34.59,28.14,1442.71
62.6,-1.4963,27.4876,34.58,28.13,1442.6
62.8864,-1.5317,27.4521,34.57,28.13,1442.42
63.137,-1.5719,27.4226,34.58,28.14,1442.24
63.4234,-1.6067,27.4006,34.59,28.15,1442.09
63.6024,-1.635,27.376,34.59,28.15,1441.96
63.8888,-1.6604,27.3613,34.6,28.16,1441.85
64.1393,-1.6769,27.3527,34.6,28.17,1441.79
64.3899,-1.6857,27.349,34.61,28.17,1441.76
64.6047,-1.691,27.3441,34.61,28.17,1441.73
64.8553,-1.6969,27.3405,34.61,28.17,1441.71
65.1059,-1.6993,27.3478,34.62,28.19,1441.72
65.3922,-1.6893,27.3601,34.63,28.19,1441.78
65.6428,-1.6792,27.3662,34.63,28.19,1441.83
65.965,-1.6722,27.3687,34.62,28.19,1441.86
66.1798,-1.6698,27.3699,34.62,28.19,1441.88
66.4303,-1.6686,27.3687,34.62,28.18,1441.88
66.6451,-1.6698,27.3662,34.61,28.18,1441.88
66.9315,-1.6716,27.3723,34.62,28.19,1441.89
67.2178,-1.6651,27.3871,34.64,28.21,1441.94
67.3968,-1.6462,27.414,34.65,28.22,1442.05
67.719,-1.6208,27.441,34.66,28.23,1442.19
67.9695,-1.5907,27.4594,34.65,28.22,1442.32
68.2559,-1.5689,27.468,34.64,28.21,1442.41
68.4349,-1.5583,27.4729,34.63,28.2,1442.46
68.7212,-1.55,27.4937,34.65,28.22,1442.53
68.936,-1.5182,27.544,34.68,28.25,1442.73
69.1866,-1.4733,27.5575,34.65,28.22,1442.9
69.4371,-1.455,27.5649,34.64,28.21,1442.98
69.6877,-1.4456,27.5894,34.66,28.23,1443.06
69.9383,-1.4202,27.6176,34.67,28.24,1443.2
70.2604,-1.3896,27.6311,34.65,28.22,1443.32
70.4394,-1.373,27.6348,34.64,28.21,1443.39
70.7973,-1.3654,27.6421,34.64,28.22,1443.43
71.0121,-1.3606,27.6433,34.64,28.21,1443.45
71.2269,-1.3601,27.6433,34.64,28.21,1443.45
71.5132,-1.3601,27.6532,34.65,28.23,1443.48
71.7638,-1.3388,27.701,34.69,28.26,1443.64
71.9785,-1.294,27.7243,34.67,28.24,1443.83
72.1933,-1.2574,27.7684,34.69,28.26,1444.03
72.408,-1.2179,27.7917,34.67,28.24,1444.2
72.766,-1.1943,27.8028,34.66,28.24,1444.3
72.9449,-1.1813,27.8101,34.66,28.23,1444.36
73.2313,-1.1701,27.8285,34.67,28.24,1444.43
73.446,-1.1536,27.8371,34.66,28.24,1444.5
73.7682,-1.1412,27.8494,34.66,28.24,1444.57
73.9829,-1.1305,27.8616,34.67,28.24,1444.63
74.2335,-1.1064,27.907,34.7,28.27,1444.8
74.484,-1.0633,27.934,34.69,28.26,1444.98
74.7346,-1.035,27.9511,34.68,28.25,1445.11
74.9851,-1.0167,27.9769,34.69,28.27,1445.22
75.1999,-0.9819,28.0198,34.71,28.28,1445.41
75.4504,-0.937,28.0615,34.72,28.28,1445.63
75.7725,-0.8975,28.075,34.69,28.26,1445.79
75.9873,-0.8774,28.0824,34.68,28.25,1445.87
76.3094,-0.8715,28.0848,34.67,28.25,1445.89
76.5242,-0.868,28.1008,34.69,28.26,1445.94
