,ind,name,wspd,snr,snr_sh,alti
68,82,2023-11-13_14-14-07,11.352942,12.260711658956,14.3345403378974,2.436
69,83,2023-11-13_14-33-06,11.41875,8.12841164011338,8.99977178925689,2.461
70,84,2023-11-23_15-20-53,10.090908,15.0149598943291,16.3029857695026,3.543
71,85,2023-11-23_17-26-12,7.5058823,17.1064804180551,19.3793139943773,3.581
72,86,2023-11-23_17-45-29,6.9133344,14.4671245650657,16.7747523012367,3.434
73,87,2023-11-23_18-02-32,6.4933333,8.07317896452515,9.44298670411182,3.305
74,88,2023-11-24_05-05-36,11.68125,10.1170041499404,14.8787233407582,2.629
75,89,2023-11-24_05-23-05,11.35,17.7638110546413,107.512097143811,2.872
76,90,2023-11-24_05-45-04,10.7,22.4131148406473,300.192988405013,2.91
77,91,2023-11-24_08-20-06,9.041177,11.522927895026,37.0452069877355,3.306
78,92,2023-11-24_08-39-04,8.826316,8.74730925632737,63.5702435783749,
79,93,2023-11-24_16-11-05,5.2200003,8.49930186467483,9.62608452555751,
80,94,2023-11-24_16-28-05,5.6590905,12.4477780199694,14.3329878511589,
81,95,2023-11-25_04-02-05,10.152941,19.9078509520717,22.2070146954669,3.728
82,96,2023-11-25_04-21-03,10.173334,21.4859155725255,25.0270473441053,3.673
83,97,2023-11-25_04-38-04,8.993333,5.14829111148442,52.4363163912529,3.587
84,98,2023-11-25_07-57-25,10.116667,15.7414970032858,18.0733146425674,2.931
85,99,2023-11-25_08-17-02,10.178947,18.8928584779879,22.1603943353664,2.887
86,100,2023-11-25_08-38-17,10.06,8.57754048435842,63.2678164321637,2.832
87,101,2023-11-25_16-02-12,9.65,6.61739922397548,93.5826825103977,3.103
88,102,2023-11-26_07-27-42,7.413333,12.6829705293448,130.641289483736,1.552
89,103,2023-11-26_07-44-08,6.9117646,16.8502851682376,173.11532222332,1.541
90,105,2023-11-26_09-32-05,6.288889,8.27030501776354,42.6707391718449,1.483
91,106,2023-11-26_15-12-52,8.15,9.10150242124187,138.561863102726,2.854
92,107,2023-11-26_15-29-15,8.922222,8.42995980128369,127.56655495748,2.914
93,108,2023-11-27_02-02-51,14.947369,7.3349966061898,68.0712263404871,2.996
94,109,2023-11-27_02-23-05,15.213334,5.86013708648428,71.4507179377226,2.908
95,110,2023-11-27_02-40-15,14.226667,1.57237000324459,1.58678522812971,2.897
96,111,2023-11-27_07-05-12,15.789999,3.24285606509181,5.78625411256952,2.938
97,112,2023-11-27_07-28-35,16.41875,6.84019493550348,54.2448438168922,3.351
98,113,2023-11-27_09-12-42,16.127777,4.09294620579092,5.77583420266189,3.267
99,114,2023-11-27_09-32-17,16.188234,5.12242823241326,8.40272847799857,3.185
100,115,2023-11-27_14-51-08,14.010527,4.90712702013459,5.77629334929704,2.589
101,116,2023-11-27_15-12-09,13.687499,5.28996881573012,7.45926341605187,2.528
102,117,2023-11-28_02-50-58,5.6000004,5.88436033814072,66.8456207512161,1.157
103,131,2023-11-29_08-12-32,6.2466664,4.4893160749247,49.1741143806352,1.004
104,133,2023-11-29_15-35-18,7.229412,6.24526900786386,13.1407393180236,1.312
105,135,2023-11-30_00-50-38,5.9789476,19.9210672851397,304.064700788402,1.483
106,136,2023-11-30_01-11-03,6.0562496,4.20739538330129,35.7156053127987,1.483
107,137,2023-11-30_04-58-59,5.6000004,10.4974076901794,117.986920611163,1.131
108,138,2023-11-30_05-22-20,5.4933333,9.28713178994006,202.822669207794,1.145
109,139,2023-11-30_12-19-27,4.6772723,21.5071117977057,206.181657824551,1.415
110,140,2023-11-30_12-43-03,4.3444443,20.2630907262312,221.870440636837,1.321
111,142,2023-11-30_18-43-54,3.3352942,11.783833474261,168.479907057997,1.321
112,147,2023-12-01_04-42-14,4.429412,9.57747610185919,55.7974645070301,
113,148,2023-12-01_05-01-03,4.1,7.24090705452905,33.9794684050068,
114,149,2023-12-01_05-19-02,4.0874996,8.44720685307011,44.0492965943397,
115,174,2023-12-15_18-06-29,5.8235292,14.5826602642113,17.6888775240963,1.561
116,175,2023-12-15_18-24-10,6.2625,17.703931869344,19.8227857202389,1.561
117,176,2023-12-15_20-59-45,9.790477,3.29974946270966,3.89974001192904,1.958
118,177,2023-12-15_21-22-04,11.05625,4.39819332181567,4.94993367239292,1.988
119,178,2023-12-15_21-40-03,10.940001,3.55751648450948,16.6909047845574,2.004
120,179,2023-12-16_00-33-52,10.2125,2.25408442518258,14.0905605440953,2.223
121,180,2023-12-16_00-51-01,9.613334,1.92066368209899,2.26760740279826,2.261
122,181,2023-12-16_01-07-37,8.7,4.76294551916631,5.39368669725504,2.279
123,182,2023-12-16_02-13-44,8.610527,3.28657999514786,4.8051372453681,
124,183,2023-12-16_02-33-35,8.747059,6.64096765022699,63.8002861834682,
125,184,2023-12-16_02-51-01,8.7894745,2.80283873683985,15.8619833069155,2.357
126,185,2023-12-16_06-15-24,10.7125,5.42920514297751,8.40494910877695,
127,186,2023-12-16_06-33-02,10.8375,4.64942597917223,6.37704243653448,
128,187,2023-12-16_06-50-45,10.741177,4.44564919970959,12.41762526949,
129,189,2023-12-16_11-41-28,9.44706,5.44657549335482,77.1041571227156,1.81
130,190,2023-12-16_13-01-03,8.549999,2.95942209947544,36.9695782358275,1.803
131,191,2023-12-16_13-21-02,9.071429,2.90438232798313,43.7458452154419,1.796
132,192,2023-12-16_20-04-05,3.0952382,6.93924189472129,37.3046058559316,1.519
133,206,2023-12-17_22-20-09,19.52353,6.66524382312503,7.25224954692157,
134,207,2023-12-17_22-39-45,19.750002,6.7708401565104,7.36835993070363,
135,208,2023-12-17_22-58-03,19.00625,17.2995199276967,18.5452649380554,
136,209,2023-12-18_00-17-52,18.59032,16.5198824326637,17.7658750680904,
137,210,2023-12-18_02-35-53,20.964705,1.19212780556268,0.852075988454402,
138,211,2023-12-18_03-35-43,17.402779,6.79253204674305,7.19883101952589,
139,212,2023-12-18_04-12-24,17.408792,10.77535596197,11.2422639768321,
140,232,2023-12-26_00-30-41,14.275,11.0067733490385,143.119194307186,1.863
141,233,2023-12-26_02-23-22,12.0625,10.6691696768097,132.913802317783,1.863
142,234,2023-12-26_02-40-38,12.74375,11.5646051918107,209.50989681664,
143,235,2023-12-26_03-57-15,10.327272,23.6531818320917,40.9214967470518,
144,260,2023-12-31_12-52-26,5.216666,15.8543517255131,18.5324146847408,1.938
145,261,2023-12-31_13-11-06,5.0555553,3.77898634960053,21.4007049171096,1.938
146,262,2023-12-31_15-10-27,6.213333,2.58130618380537,49.7077326752986,1.938
147,263,2023-12-31_15-27-04,6.7999997,9.81303585806553,12.582151537785,1.938
148,264,2023-12-31_15-45-03,7.2875,10.2285435433765,11.7848206697008,
149,265,2023-12-31_16-03-02,7.423529,9.13037537798045,92.2112345808914,1.78
150,266,2023-12-31_16-22-03,7.6764708,7.11647753593948,9.18653964122919,1.78
151,268,2023-12-31_20-02-15,8.913333,4.75532088668551,4.9164906223557,
152,269,2023-12-31_20-19-22,9.44,5.56507015323086,5.61441435217587,
