Date/Time  Depth water [m]  Gear ID  Press [dbar]  Temp [°C]  Sal
2009-02-13T18:00  715  1    0.1192  34.593
2009-02-13T18:00  648  2  655.040  -0.1530  34.565
2009-02-13T18:00  623  3    -0.2012
2009-02-13T18:00  597  4    -0.4077
2009-02-13T18:00  571  5  578.189  -0.7645  34.486
2009-02-13T18:00  520  8  524.510  -1.0100
2009-02-13T18:00  468  6    -1.3805
2009-02-13T18:00  417  9  417.563  1.2300
